"Category","RGS","AC","PValue","Bonferroni"
"Unassigned",290,6343,1.28304402383237e-21,3.33591446196416e-20
"Proteolysis proteasome",68,733,6.63421680964049e-20,1.72489637050653e-18
"Extracellular material",47,495,9.18464813330156e-15,2.38800851465841e-13
"Transcription factor",35,581,7.59777307331443e-07,1.97542099906175e-05
"Development",19,295,9.47139688515462e-05,0.0024625631901402
