"Category","RGS","AC","PValue","Bonferroni"
"Metabolism: lipid: beta oxidation",4,78,9.64359363577184e-07,1.63941091808121e-05
"Stress response: C-type Lectin",5,256,4.40168353310847e-06,7.4828620062844e-05
