"Category","RGS","AC","PValue","Bonferroni"
"Unassigned: regulated by multiple stresses",65,1707,3.20656891544161e-14,3.49516011783135e-12
"Proteolysis proteasome: E3: F box",17,437,3.936470728185e-05,0.00429075309372165
"Metabolism: lipid: beta oxidation",7,78,6.66686160312147e-05,0.0072668791474024
