"Category","RGS","AC","PValue","Bonferroni"
"Transmembrane protein: unassigned",341,1692,2.4118514294284e-46,3.0148142867855e-44
"Signaling: phosphatase",104,196,1.68975143665005e-43,2.11218929581256e-41
"Unassigned",815,6343,2.00927245689137e-33,2.51159057111421e-31
"Cytoskeleton: microtubule",70,128,1.36627279757395e-30,1.70784099696744e-28
"Major sperm protein",30,31,7.01482568493258e-19,8.76853210616572e-17
"Signaling: Y kinase",32,73,7.05395544235405e-13,8.81744430294256e-11
"Metabolism: lipid",88,526,3.1141570757901e-10,3.89269634473763e-08
"Stress response: detoxification",45,206,7.50429672945128e-09,9.3803709118141e-07
"Stress response: pathogen",35,192,1.07233331309448e-05,0.0013404166413681
"Transmembrane transport: solute carrier",35,197,1.72620382128352e-05,0.0021577547766044
"Proteolysis general: aspartate",12,33,4.56201854756633e-05,0.00570252318445791
