"Category","RGS","AC","PValue","Bonferroni"
"Unassigned",815,6343,2.00927245689137e-33,6.02781737067411e-32
"Major sperm protein",30,31,7.01482568493258e-19,2.10444770547977e-17
"Signaling",189,1188,1.13806389737457e-17,3.41419169212371e-16
"Cytoskeleton",86,371,1.26361990299979e-16,3.79085970899937e-15
"Stress response",128,833,8.44273738974761e-12,2.53282121692428e-10
"Transmembrane protein",353,3200,5.25864376315263e-10,1.57759312894579e-08
"Proteolysis general",68,394,9.28852895824827e-09,2.78655868747448e-07
"Transmembrane transport",110,901,5.90576573529028e-06,0.000177172972058708
"Metabolism",173,1601,1.65262405253363e-05,0.000495787215760089
