"","Category","RGS","AC","PValue"
"3","Proteolysis general",2,394,0.0110211774430116
"2","Metabolism",2,1601,0.129096581067259
"1","Extracellular material",1,495,0.171472541091593
"6","Unassigned",4,6343,0.236539753943486
"4","Stress response",1,833,0.269934654687003
"5","Transmembrane protein",1,3200,0.688105653766942
